用户,评论内容,时间,地点
莫愁山路十八弯,这都不开除学校？让我想起了那个浙大的强奸犯。,2023/4/21 17:23,上海
我也想亡命天涯,这不纯纯的戈尔巴乔夫,2023/4/21 17:34,吉林
中国黑老大,没毛病,2023/4/21 17:39,浙江
happinessisthewarmgun,前天在北京某医院的热搜里见到一个恨国党，点进她的主页发现她竟然考公，不过好笑的事，她说以为是考专业课，结果到考场发现是考行测和申论,2023/4/21 17:40,云南
无问O西东,他更恨了,2023/4/21 17:44,湖北
濒死2012,这个是毕姥爷的徒弟呀,2023/4/21 17:50,北京
只有叶子-覀L覀,反华还想吃国家编制，要不要脸啊,2023/4/21 17:56,湖南
我有一条龙Dragon,开除国籍都不为过,2023/4/21 18:03,福建
超闲怎么破,我身边有一边享受政策福利（还是两代人都在享受），一边又是恨国党、几个月前的a4代表人物，而且死不悔改。支持封死他们的路,2023/4/21 18:07,四川
GSHrbitches,因果报应，挺好,2023/4/21 18:16,湖北
雪龙新月,有知识的人有这种思想的是很可怕的,2023/4/21 18:18,广东
淳淳Joey,反华和反共是不一样的,2023/4/21 18:26,澳大利亚
木木林森火炎燚,不太精致的利己主义者,2023/4/21 18:33,浙江
伊芙瓦力,支持这个决定！,2023/4/21 18:33,辽宁
孙明振鼓手演员歌手,辱华言论治罪之法律赶紧出台啊！,2023/4/21 19:23,江苏
半生悲哀,不应该直接去除国籍吗！！留着这种祸害等着过年啊,2023/4/21 19:28,宁夏
飞奔的猪小花,看不起中国还做什么中国的公务员,2023/4/21 19:39,湖北
luckyT旭,扛着红旗反红旗,2023/4/21 19:53,四川
小雪的kk,这种人考上了也不会为人民服务,2023/4/21 20:09,江苏
奇点东西,可以去美国刷个盘子聊“自由”,2023/4/21 20:21,黑龙江
_Penguy,以后出国后又是一个反中战斗士,2023/4/21 20:22,湖北
赫尔纽斯,原来这两个字能打出来,2023/4/21 20:24,山东
东大名路上,具体内容是什么  有人知道吗,2023/4/21 20:25,河南
好大一只哈哈怪,我教公考笔试面试的，别人不知道反正我教过的学生没有一个告诉我是因为热爱祖国热爱D才考的，不是被父母逼的，就是因为稳定好摸鱼（告诉大家现在也不好摸鱼了，基层很累的）,2023/4/21 20:27,黑龙江
豆元的好爸爸,放弃名额也得处理它,2023/4/21 20:28,江苏
别欺负我这块小饼干,都反华了还考公务员？咋想的,2023/4/21 20:33,四川
宝蓝三六九,文化考试上岸公务员的同时 也应该考察下个人素养问题吧,2023/4/21 20:36,海南
高冷搞笑文艺青年,干得漂亮，最好连他的后代也不能考公，这种人教育孩子肯定也会有问题，釜底抽薪，根除辱华分子,2023/4/21 20:38,广西
IlllIIlIIl,笑死这个人也是 发表这种言论 还想考公务员这不是打自己脸吗 去国外对付他讨厌的人多好,2023/4/21 20:39,山东
AsIam_71790,必须全面封杀！,2023/4/21 20:42,广西
爱SamYU的蒙奇奇,还好有人举报,2023/4/21 20:45,新疆
leopardwjz,好像进去的是什么好鸟似的,2023/4/21 20:52,云南
曼彻斯特的丁丁,说了啥？,2023/4/21 20:56,上海
听说昵称英文加数字有钱na,它们在为自己曾发表过的辱华言论害怕吧？深怕也被揪出来，砸了饭碗？否则怕什么呢……//@一十七根钢丝:评论里说文字狱、红卫兵、跳脚的人在怕什么啊//@叮当法术变变变888:政审要严一点，考生各大平台的账号言论都要过一遍,2023/4/21 20:56,浙江
鲤尾酱,浙江大学都考街道办了吗,2023/4/21 20:58,山东
小玲挚爱S丿UK,任何高薪岗位，机要岗位都不得录用,2023/4/21 21:03,浙江
注水会计师2023,说什么了？,2023/4/21 21:03,陕西
Sophie_InE,讲真 你可以不喜欢我们国家 但不喜欢就不要吃这碗饭,2023/4/21 21:04,荷兰
e十个铜钱e,口嗨一时爽！一世丧！,2023/4/21 21:06,江西
FFF-Crestin,不是有句话吗？如果对这个国家不满，不要抱怨，去考公务员改变它。现在怎么直接就刷下来了,2023/4/21 21:14,上海
黎明de象征,奥,2023/4/21 21:19,上海
张菲菲本菲,在国内还是别说了吧 自保为重,2023/4/21 21:20,英国
赡养人类54321,它是不是中国境内的日本学校毕业的 正常中国人谁会用那个词侮辱自己和祖宗十八代？,2023/4/21 21:24,湖北
撒旦陛下,所以怎么辱华的？,2023/4/21 21:25,北京
雾散时想云,防弹少年团粉丝也是这样的,2023/4/21 21:26,陕西
南河332200,做的好,2023/4/21 21:32,宁夏
董董201410,我关注点在浙大的去乡镇吗 现在考公太卷了,2023/4/21 21:36,浙江
蛋挞令,有没有人知道他说啥了,2023/4/21 21:37,北京
dilililidilililidada_12138,好死,2023/4/21 21:38,上海
ET-Blue10010,互联网是有记忆的 谁也别想逃,2023/4/21 21:39,黑龙江
贾铭滋198410,我们的高校，花着人民的钱，就养了这么一条白眼狼。居然没有把他开除！,2023/4/21 21:50,浙江
七块糕,对啊这不就是政审应该做的吗,2023/4/21 21:50,河北
奶奶奶坤,那时还造成巨大负面影响，政治素质肯定不合格,2023/4/21 21:51,湖北
第九放映厅,查，他的老师是谁，家庭教育是否正常。是否存在报复叛国。,2023/4/21 21:51,广东
ooo小爱,连基本的爱国都做不到，干嘛还要考公,2023/4/21 21:55,浙江
574疯子自传我看,他去考国外的公务员呗,2023/4/21 21:58,黑龙江
纽扣飞哪去了管得着吗你,@Pamela_per,2023/4/21 21:58,黑龙江
yumi酱O_o,这个人叫何钢迪，马赛克都没有打清楚,2023/4/21 21:59,上海
NAINAI我的爱,吃着国家的饭侮辱自己的国家，猪狗都不如！,2023/4/21 22:00,浙江
倔强粉红猪,端起碗吃饭，放下碗骂娘？6,2023/4/21 22:02,北京
